algorithm,alpha,gamma,epsilon,avg_reward_last_100,avg_steps_last_100,avg_falls_last_100,total_falls,success,eval_steps,eval_falls,eval_reward
SARSA,0.3,0.95,0.1,-262.3,185.63,0.59,736,1,39,0,-18.0
Q-learning,0.3,0.95,0.2,-99.14,35.33,0.79,817,1,23,0,-2.0
SARSA,0.3,0.95,0.2,-517.8,247.37,1.96,1605,1,27,0,-6.0
Q-learning,0.3,0.95,0.3,-151.31,41.82,1.19,1484,1,23,0,-2.0
SARSA,0.3,0.95,0.3,-716.59,217.78,3.82,3263,1,27,0,-6.0
Q-learning,0.3,0.99,0.05,-15.45,25.27,0.1,147,1,23,0,-2.0
SARSA,0.3,0.99,0.05,-12.85,25.64,0.07,297,1,23,0,-2.0
Q-learning,0.3,0.99,0.1,-62.44,29.21,0.53,522,1,23,0,-2.0
SARSA,0.3,0.99,0.1,-125.87,74.92,0.49,642,1,23,0,-2.0
Q-learning,0.3,0.99,0.2,-82.46,35.16,0.62,745,1,23,0,-2.0
SARSA,0.3,0.99,0.2,-298.59,107.25,1.6,1378,1,23,0,-2.0
Q-learning,0.3,0.99,0.3,-369.95,59.97,3.18,2748,1,23,0,-2.0
SARSA,0.3,0.99,0.3,-476.96,128.96,2.84,2876,1,25,0,-4.0
Q-learning,0.5,0.7,0.05,-19.76,25.38,0.14,146,1,23,0,-2.0
SARSA,0.5,0.7,0.05,-296.51,199.97,0.61,509,1,23,0,-2.0
Q-learning,0.5,0.7,0.1,-32.89,27.22,0.25,311,1,23,0,-2.0
SARSA,0.5,0.7,0.1,-442.07,233.46,1.41,1064,1,27,0,-6.0
Q-learning,0.5,0.7,0.2,-90.76,35.19,0.71,704,1,23,0,-2.0
SARSA,0.5,0.7,0.2,-697.29,223.94,3.74,2842,0,300,0,-300.0
Q-learning,0.5,0.7,0.3,-162.4,43.77,1.29,1314,1,23,0,-2.0
SARSA,0.5,0.7,0.3,-1016.96,242.14,6.23,5674,0,300,0,-1300.0
Q-learning,0.5,0.9,0.05,-21.08,25.28,0.16,144,1,23,0,-2.0
SARSA,0.5,0.9,0.05,-339.01,249.49,0.59,452,0,300,0,-1416.0
Q-learning,0.5,0.9,0.1,-29.32,27.01,0.21,299,1,23,0,-2.0
SARSA,0.5,0.9,0.1,-397.31,211.46,1.35,1189,0,300,0,-1352.0
Q-learning,0.5,0.9,0.2,-104.91,36.58,0.83,800,1,23,0,-2.0
SARSA,0.5,0.9,0.2,-584.55,205.06,2.84,2862,1,33,0,-12.0
Q-learning,0.5,0.9,0.3,-133.7,40.1,1.04,1891,1,23,0,-2.0
SARSA,0.5,0.9,0.3,-955.17,229.02,5.65,5049,1,31,0,-10.0
Q-learning,0.5,0.95,0.05,-21.76,25.84,0.16,215,1,23,0,-2.0
SARSA,0.5,0.95,0.05,-361.31,229.62,0.91,516,1,25,0,-4.0
Q-learning,0.5,0.95,0.1,-36.48,28.19,0.27,296,1,23,0,-2.0
SARSA,0.5,0.95,0.1,-399.23,214.8,1.18,1002,1,25,0,-4.0
Q-learning,0.5,0.95,0.2,-135.51,38.39,1.12,1106,1,23,0,-2.0
SARSA,0.5,0.95,0.2,-484.36,168.26,2.34,2451,1,41,0,-20.0
Q-learning,0.5,0.95,0.3,-280.74,50.0,2.42,2380,1,23,0,-2.0
SARSA,0.5,0.95,0.3,-982.63,227.53,5.74,4874,1,33,0,-12.0
Q-learning,0.5,0.99,0.05,-26.43,26.51,0.2,211,1,23,0,-2.0
SARSA,0.5,0.99,0.05,-142.58,90.48,0.47,370,1,23,0,-2.0
Q-learning,0.5,0.99,0.1,-29.71,26.93,0.22,308,1,23,0,-2.0
SARSA,0.5,0.99,0.1,-121.91,60.61,0.6,772,1,23,0,-2.0
Q-learning,0.5,0.99,0.2,-74.09,34.0,0.55,776,1,23,0,-2.0
SARSA,0.5,0.99,0.2,-365.35,120.17,1.91,2121,1,23,0,-2.0
Q-learning,0.5,0.99,0.3,-294.84,51.54,2.54,2560,1,23,0,-2.0
SARSA,0.5,0.99,0.3,-707.85,164.24,4.16,3971,1,23,0,-2.0
