episode,score,reward,epsilon,best_score_so_far
128,2,-119.30000000000001,0.33934810360004614,6
129,3,-276.55000000000007,0.338330059289246,6
130,2,-306.1500000000001,0.33731506911137826,6
131,1,-133.85,0.33630312390404415,6
132,2,-422.7,0.33529421453233205,6
133,2,-83.65,0.334288331888735,6
134,0,-180.8,0.3332854668930688,6
135,1,-252.30000000000004,0.3322856104923896,6
136,1,-150.10000000000002,0.3312887536609124,6
137,1,-133.8,0.3302948873999297,6
138,0,-173.05,0.3293040027377299,6
139,3,-144.3,0.32831609072951673,6
140,3,-168.60000000000002,0.3273311424573282,6
141,3,-191.4,0.3263491490299562,6
142,1,-302.0,0.32537010158286633,6
143,3,-129.4,0.32439399127811774,6
144,2,-166.5,0.3234208093042834,6
145,1,-263.4,0.32245054687637054,6
146,2,-429.34999999999985,0.3214831952357414,6
147,4,-180.95000000000002,0.3205187456500342,6
148,1,-147.8,0.3195571894130841,6
149,1,-167.85,0.31859851784484483,6
150,2,-317.3,0.3176427222913103,6
151,2,-82.79999999999998,0.3166897941244364,6
152,2,-185.79999999999998,0.3157397247420631,6
153,2,-223.75000000000006,0.3147925055678369,6
154,0,-168.3,0.3138481280511334,6
155,1,-158.65000000000003,0.31290658366698,6
156,2,-222.10000000000002,0.311967863915979,6
157,2,-75.65,0.3110319603242311,6
158,2,-88.35000000000001,0.3100988644432584,6
159,4,-232.39999999999998,0.30916856784992863,6
160,1,-149.04999999999998,0.30824106214637886,6
161,1,-159.70000000000002,0.3073163389599397,6
162,3,-148.95000000000002,0.3063943899430599,6
163,2,-189.2,0.3054752067732307,6
164,3,-82.19999999999999,0.304558781152911,6
165,7,-409.1,0.3036451048094523,7
166,1,-147.2,0.3027341694950239,7
167,2,-62.4,0.30182596698653885,7
168,0,-198.95,0.3009204890855792,7
169,1,-335.5000000000001,0.30001772761832246,7
170,3,-222.65000000000003,0.2991176744354675,7
171,2,-274.75,0.2982203214121611,7
172,2,-105.44999999999999,0.29732566044792463,7
173,4,-80.5,0.29643368346658083,7
174,4,-187.10000000000002,0.2955443824161811,7
175,3,-108.2,0.29465774926893257,7
176,3,-249.65,0.29377377602112575,7
177,2,-223.65,0.29289245469306235,7
178,0,-211.55,0.29201377732898315,7
179,3,-167.55,0.2911377359969962,7
180,3,-297.0,0.2902643227890052,7
181,5,-271.55,0.2893935298206382,7
182,2,-220.75000000000003,0.2885253492311763,7
183,1,-229.15,0.28765977318348274,7
184,2,-201.85000000000002,0.2867967938639323,7
185,1,-180.45,0.2859364034823405,7
186,1,-158.5,0.28507859427189347,7
187,0,-179.6,0.2842233584890778,7
188,5,-156.0,0.28337068841361057,7
189,2,-176.25,0.28252057634836975,7
190,2,-82.8,0.28167301461932465,7
191,2,-183.75000000000003,0.28082799557546667,7
192,2,-329.8,0.27998551158874024,7
193,2,-339.50000000000006,0.27914555505397404,7
194,6,-503.85000000000025,0.2783081183888121,7
195,3,-307.0,0.2774731940336457,7
196,5,-265.15,0.2766407744515447,7
197,3,-168.3,0.27581085212819006,7
198,1,-186.0,0.2749834195718055,7
199,0,-198.85000000000002,0.27415846931309007,7
200,0,-342.30000000000007,0.2733359939051508,7
201,5,-168.55,0.27251598592343534,7
202,1,-132.6,0.27169843796566506,7
203,1,-126.0,0.27088334265176806,7
204,4,-362.40000000000003,0.2700706926238127,7
205,1,-156.05,0.26926048054594126,7
206,0,-190.15,0.2684526991043034,7
207,1,-128.65,0.2676473410069905,7
208,4,-175.45,0.26684439898396956,7
209,1,-134.65,0.26604386578701766,7
210,7,-409.29999999999995,0.26524573418965663,7
211,3,-509.7499999999999,0.26444999698708765,7
212,3,-351.29999999999995,0.2636566469961264,7
213,0,-231.45000000000002,0.262865677055138,7
214,1,-102.75,0.2620770800239726,7
215,3,-226.05,0.2612908487839007,7
216,3,-230.89999999999998,0.260506976237549,7
217,2,-55.8,0.25972545530883634,7
218,1,-928.0999999999995,0.25894627894290984,7
219,1,-192.4,0.2581694401060811,7
220,6,-249.50000000000006,0.2573949317857629,7
221,1,-357.65,0.2566227469904056,7
222,3,-226.5500000000001,0.2558528787494344,7
223,1,-111.4,0.25508532011318613,7
224,1,-259.79999999999995,0.2543200641528466,7
225,4,-174.70000000000002,0.25355710396038805,7
226,0,-247.95,0.2527964326485069,7
227,2,-477.3999999999999,0.25203804335056135,7
228,3,-617.85,0.2512819292205097,7
229,6,-291.30000000000007,0.25052808343284816,7
230,1,-268.1,0.24977649918254963,7
231,5,-135.0,0.24902716968500196,7
232,1,-165.2,0.24828008817594696,7
233,3,-756.1499999999996,0.24753524791141912,7
234,3,-144.70000000000002,0.24679264216768487,7
235,1,-169.25,0.24605226424118182,7
236,2,-114.15,0.24531410744845827,7
237,0,-199.0,0.2445781651261129,7
238,6,-303.70000000000005,0.24384443063073458,7
239,1,-94.10000000000001,0.24311289733884237,7
240,4,-382.15000000000003,0.24238355864682584,7
241,4,-194.85000000000002,0.24165640797088536,7
242,4,-441.8999999999999,0.2409314387469727,7
243,0,-217.35000000000002,0.24020864443073178,7
244,2,-163.4,0.2394880184974396,7
245,2,-161.4,0.23876955444194728,7
246,2,-98.95,0.23805324577862144,7
247,3,-194.05,0.23733908604128556,7
248,3,-440.30000000000007,0.2366270687831617,7
249,2,-215.15000000000003,0.2359171875768122,7
250,1,-456.4500000000001,0.23520943601408179,7
251,2,-254.40000000000003,0.23450380770603954,7
252,2,-209.85,0.23380029628292143,7
253,4,-367.65000000000003,0.23309889539407266,7
254,2,-131.0,0.23239959870789045,7
255,2,-70.95,0.23170239991176678,7
256,5,-601.8499999999997,0.23100729271203146,7
257,2,-269.40000000000003,0.23031427083389536,7
258,4,-272.29999999999995,0.22962332802139368,7
259,2,-144.0,0.2289344580373295,7
260,0,-189.95000000000002,0.22824765466321753,7
261,2,-262.70000000000005,0.22756291169922788,7
262,1,-219.9,0.22688022296413018,7
263,4,-159.85000000000002,0.2261995822952378,7
264,5,-208.35000000000002,0.22552098354835207,7
265,2,-370.95000000000005,0.224844420597707,7
266,5,-294.3,0.2241698873359139,7
267,3,-293.29999999999995,0.22349737767390615,7
268,1,-158.2,0.22282688554088442,7
269,2,-189.25000000000003,0.22215840488426178,7
270,0,-196.09999999999997,0.22149192966960898,7
271,6,-246.75000000000003,0.22082745388060016,7
272,0,-151.85,0.22016497151895836,7
273,4,-269.20000000000005,0.21950447660440148,7
274,4,-178.5,0.21884596317458826,7
275,3,-273.29999999999995,0.2181894252850645,7
276,3,-575.9999999999999,0.2175348570092093,7
277,2,-81.69999999999999,0.21688225243818168,7
278,1,-201.3,0.21623160568086713,7
279,3,-184.4,0.21558291086382453,7
280,3,-363.75,0.21493616213123307,7
281,4,-344.50000000000006,0.21429135364483937,7
282,4,-550.25,0.21364847958390484,7
283,3,-203.0,0.21300753414515314,7
284,5,-394.5499999999999,0.2123685115427177,7
285,0,-559.6500000000001,0.21173140600808954,7
286,5,-366.8999999999999,0.21109621179006527,7
287,2,-496.24999999999994,0.2104629231546951,7
288,3,-211.15000000000003,0.209831534385231,7
289,0,-160.3,0.2092020397820753,7
290,1,-121.95,0.20857443366272907,7
291,1,-141.15,0.20794871036174087,7
292,2,-520.2499999999999,0.20732486423065566,7
293,0,-164.35000000000002,0.20670288963796368,7
294,4,-427.34999999999985,0.20608278096904978,7
295,5,-561.2999999999998,0.20546453262614262,7
296,2,-83.75,0.20484813902826418,7
297,6,-360.45000000000005,0.20423359461117938,7
