episode,score,reward,epsilon,loss,best_score_so_far
316,8,-172.9,0.23148157848505124,5.0716244624211235,12
317,1,-149.9,0.23078713374959609,3.2366038958231607,12
318,2,-123.85000000000001,0.2300947723483473,5.472029685974121,12
319,5,-130.5,0.22940448803130226,4.679090797901154,12
320,1,-159.14999999999998,0.22871627456720836,3.8108421166737876,12
321,2,-191.35000000000002,0.22803012574350673,6.349192428588867,12
322,1,-94.05,0.2273460353662762,4.401755392551422,12
323,2,-156.6,0.22666399726017739,4.307248175144196,12
324,5,-282.05,0.22598400526839685,3.759387688090404,12
325,3,-277.45,0.22530605325259165,3.927489233016968,12
326,3,-266.4,0.22463013509283386,4.029115041097005,12
327,5,-245.85,0.22395624468755534,4.270958922126076,12
328,2,-143.9,0.22328437595349268,4.255845785140991,12
329,1,-111.3,0.2226145228256322,5.117754697799683,12
330,3,-176.40000000000003,0.2219466792571553,5.570717453956604,12
331,4,-187.05000000000004,0.22128083921938385,4.514767434861925,12
332,1,-288.4,0.2206169967017257,4.655157055173602,12
333,6,-358.5,0.2199551457116205,3.8314466873804727,12
334,5,-98.49999999999999,0.21929528027448564,4.423485994338989,12
335,1,-160.5,0.21863739443366217,3.76833039522171,12
336,6,-517.6499999999999,0.21798148225036118,3.965291496954466,12
337,3,-118.80000000000001,0.21732753780361008,4.467250156402588,12
338,2,-155.75,0.21667555519019926,4.163536930084229,12
339,8,-268.1000000000001,0.21602552852462867,4.574524998664856,12
340,5,-279.6,0.21537745193905478,4.742815713087718,12
341,4,-192.5,0.2147313195832376,4.223123060332404,12
342,2,-267.75,0.2140871256244879,4.90576582295554,12
343,10,-360.2,0.21344486424761444,4.316892294656663,12
344,10,-506.0500000000002,0.2128045296548716,5.442362842559814,12
345,9,-290.29999999999995,0.212166116065907,4.482755144437154,12
346,6,-311.24999999999994,0.21152961771770926,4.860068304198129,12
347,12,-473.4000000000001,0.21089502886455613,3.9668886838135897,12
348,2,-159.15,0.21026234377796246,4.653335046768189,12
349,3,-299.4,0.20963155674662856,4.3907959222793576,12
350,2,-124.85,0.20900266207638868,3.5711411833763123,12
351,3,-283.75,0.2083756540901595,4.2287904090351525,12
352,2,-70.95,0.20775052712788902,6.449877023696899,12
353,3,-246.3,0.20712727554650537,4.143606636259291,12
354,2,-271.85,0.20650589371986586,3.6578884422779083,12
355,4,-155.90000000000003,0.20588637603870627,3.971651179449899,12
356,2,-185.00000000000003,0.20526871691059015,5.252388834953308,12
357,8,-461.29999999999984,0.20465291075985836,4.142913772946312,12
358,1,-197.45,0.2040389520275788,4.091438293457031,12
359,2,-202.24999999999997,0.20342683517149607,5.290401856104533,12
360,2,-277.40000000000003,0.20281655466598159,3.4080445021390915,12
361,6,-231.45,0.20220810500198363,4.536524226268132,12
362,4,-175.4,0.2016014806869777,5.137774735689163,12
